threshold,precision,recall,f1
0.9,1.0,0.0256,0.05
0.905,1.0,0.0192,0.0377
0.91,1.0,0.0192,0.0377
0.915,1.0,0.0192,0.0377
0.92,1.0,0.0192,0.0377
0.925,1.0,0.0192,0.0377
0.93,1.0,0.0128,0.0253
0.935,1.0,0.0128,0.0253
0.94,1.0,0.0128,0.0253
0.945,1.0,0.0128,0.0253
0.95,1.0,0.0128,0.0253
